Date,Stock_Return,Excess_Return,Mkt-RF,SMB,HML,RMW,CMA,Mom,RF
2024-02-22,0.011243800482060973,0.011043800482060972,0.0202,-0.015600000000000001,-0.0129,0.0038,-0.011699999999999999,0.021400000000000002,0.0002
2024-02-23,-0.010033827879818658,-0.010233827879818658,0.0002,0.0032,0.0,0.0007000000000000001,-0.001,0.0008,0.0002
2024-02-26,-0.007451424395086281,-0.007651424395086281,-0.0026,0.0097,-0.0012,-0.0074,-0.0002,0.0106,0.0002
2024-02-27,0.008114544491461428,0.007914544491461428,0.0026,0.0124,-0.0044,-0.011000000000000001,0.0066,-0.0095,0.0002
2024-02-28,-0.006625467661190654,-0.0068254676611906534,-0.0026,-0.009000000000000001,-0.0001,-0.0006,0.0053,-0.0006,0.0002
2024-02-29,-0.003693206649183378,-0.0038932066491833782,0.0053,-0.0017000000000000001,0.0098,0.0028000000000000004,-0.0072,0.0040999999999999995,0.0002
2024-03-01,-0.006030353424640422,-0.006230353424640422,0.0076,0.0,-0.0055000000000000005,-0.0025,-0.0013,0.0072,0.0002
2024-03-04,-0.02538124105795514,-0.02558124105795514,-0.0018,-0.0060999999999999995,0.0034000000000000002,-0.0021,0.0023,0.0007000000000000001,0.0002
2024-03-05,-0.02844100520428705,-0.02864100520428705,-0.010700000000000001,0.0003,0.011699999999999999,0.009399999999999999,0.0058,-0.009399999999999999,0.0002
2024-03-06,-0.005877999614099627,-0.006077999614099627,0.0053,-0.0025,-0.0003,-0.0109,-0.0004,-0.0005,0.0002
2024-03-07,-0.0007095998923742908,-0.0009095998923742908,0.0102,-0.0049,0.0003,0.0034000000000000002,-0.0074,0.0005,0.0002
2024-03-08,0.010236538490500102,0.010036538490500102,-0.0066,0.0062,0.005699999999999999,-0.004,0.0055000000000000005,-0.0077,0.0002
2024-03-11,0.011831629397762944,0.011631629397762943,-0.002,-0.0062,0.004,0.0046,0.0063,-0.0149,0.0002
2024-03-12,0.0027783993469565615,0.0025783993469565615,0.0104,-0.011699999999999999,-0.0069,0.0052,-0.0075,0.0183,0.0002
2024-03-13,-0.01212257476824008,-0.01232257476824008,-0.0014000000000000002,0.0034000000000000002,-0.0002,-0.0006,0.0017000000000000001,-0.0001,0.0002
2024-03-14,0.010927573245513411,0.01072757324551341,-0.0042,-0.0147,-0.0104,0.0106,-0.0009,0.006500000000000001,0.0002
2024-03-15,-0.002196610358093154,-0.002396610358093154,-0.0058,0.0095,0.0079,-0.0012,0.004,-0.005600000000000001,0.0002
2024-03-18,0.006372362504787343,0.006172362504787344,0.0053,-0.0102,-0.0025,0.0021,-0.0013,0.0034000000000000002,0.0002
2024-03-19,0.013585075942063485,0.013385075942063484,0.0054,0.0046,-0.0027,0.0045000000000000005,0.0005,0.0051,0.0002
2024-03-20,0.014709331076680154,0.014509331076680154,0.0102,0.0104,0.0101,-0.0021,-0.0007000000000000001,0.0031,0.0002
2024-03-21,-0.040857567319954935,-0.041057567319954934,0.0042,0.0034999999999999996,0.0095,0.0023,0.0007000000000000001,0.0059,0.0002
2024-03-22,0.005310181858539265,0.005110181858539265,-0.0023,-0.0098,-0.0053,0.0029,-0.0038,0.0049,0.0002
2024-03-25,-0.008300366449919716,-0.008500366449919717,-0.0027,-0.001,0.0086,-0.002,-0.0017000000000000001,-0.0033,0.0002
2024-03-26,-0.006672397334833047,-0.006872397334833046,-0.0026,0.0009,-0.0013,-0.0051,0.0024,0.0008,0.0002
